Parameter,L,X,Y,Z
Hose Length,260.5,,,
Spline Length,163.32,,,
1st Vector Length,20,,,
2nd Vector Length,19.99648,,,
1st vector Start Point,,0,-20,0
1st vector End Point,,0,0,0
2nd vector Start Point,,118.03,46.6,-10.13
2nd vector End Point,,123.6,65.11,-15.25
1st Vector Direction,,0,1,0
2nd Vector Direction,,0.278744,0.925688,-0.25574
Point.1,,0,0,0
Point.2,,-0.014,1.652,-0.055
Point.3,,-0.053,3.304,-0.112
Point.4,,-0.103,4.955,-0.067
Point.5,,-0.136,6.606,-0.011
Point.6,,-0.13,8.259,-0.013
Point.7,,-0.081,9.912,-0.021
Point.8,,0.001,11.562,-0.003
Point.9,,0.107,13.211,0.04
Point.10,,0.252,14.856,0.119
Point.11,,0.447,16.494,0.227
Point.12,,0.693,18.125,0.335
Point.13,,0.997,19.745,0.461
Point.14,,1.363,21.348,0.63
Point.15,,1.789,22.933,0.824
Point.16,,2.272,24.501,1.026
Point.17,,2.817,26.045,1.249
Point.18,,3.424,27.562,1.5
Point.19,,4.092,29.049,1.774
Point.20,,4.824,30.501,2.068
Point.21,,5.616,31.917,2.385
Point.22,,6.459,33.296,2.734
Point.23,,7.365,34.626,3.111
Point.24,,8.349,35.894,3.505
Point.25,,9.401,37.104,3.906
Point.26,,10.508,38.26,4.319
Point.27,,11.671,39.352,4.751
Point.28,,12.889,40.383,5.181
Point.29,,14.162,41.351,5.598
Point.30,,15.493,42.223,6.045
Point.31,,16.867,43.006,6.526
Point.32,,18.268,43.757,6.981
Point.33,,19.702,44.457,7.41
Point.34,,21.183,45.043,7.849
Point.35,,22.706,45.532,8.266
Point.36,,24.26,45.956,8.637
Point.37,,25.835,46.307,8.996
Point.38,,27.423,46.579,9.363
Point.39,,29.023,46.787,9.725
Point.40,,30.633,46.933,10.07
Point.41,,32.252,47.007,10.395
Point.42,,33.876,47.009,10.701
Point.43,,35.503,46.947,10.986
Point.44,,37.131,46.83,11.245
Point.45,,38.76,46.658,11.468
Point.46,,40.386,46.426,11.659
Point.47,,42.004,46.138,11.834
Point.48,,43.613,45.801,12
Point.49,,45.217,45.425,12.145
Point.50,,46.813,45.01,12.25
Point.51,,48.401,44.557,12.318
Point.52,,49.983,44.078,12.366
Point.53,,51.557,43.574,12.392
Point.54,,53.121,43.039,12.378
Point.55,,54.676,42.481,12.331
Point.56,,56.226,41.911,12.264
Point.57,,57.772,41.332,12.171
Point.58,,59.312,40.745,12.048
Point.59,,60.851,40.158,11.904
Point.60,,62.386,39.568,11.739
Point.61,,63.917,38.974,11.549
Point.62,,65.444,38.38,11.328
Point.63,,66.967,37.792,11.07
Point.64,,68.487,37.214,10.773
Point.65,,70.012,36.66,10.458
Point.66,,71.545,36.132,10.136
Point.67,,73.076,35.617,9.787
Point.68,,74.604,35.116,9.403
Point.69,,76.137,34.648,9.001
Point.70,,77.672,34.207,8.574
Point.71,,79.205,33.789,8.115
Point.72,,80.744,33.418,7.64
Point.73,,82.292,33.099,7.156
Point.74,,83.837,32.811,6.645
Point.75,,85.379,32.56,6.106
Point.76,,86.923,32.365,5.547
Point.77,,88.465,32.227,4.967
Point.78,,90.001,32.14,4.365
Point.79,,91.534,32.105,3.747
Point.80,,93.062,32.127,3.117
Point.81,,94.582,32.209,2.472
Point.82,,96.09,32.352,1.811
Point.83,,97.585,32.561,1.137
Point.84,,99.064,32.841,0.455
Point.85,,100.524,33.192,-0.235
Point.86,,101.963,33.609,-0.934
Point.87,,103.381,34.092,-1.633
Point.88,,104.776,34.643,-2.327
Point.89,,106.14,35.265,-3.024
Point.90,,107.465,35.955,-3.725
Point.91,,108.757,36.719,-4.424
Point.92,,110.012,37.556,-5.098
Point.93,,111.227,38.463,-5.757
Point.94,,112.383,39.437,-6.426
Point.95,,113.469,40.499,-7.077
Point.96,,114.497,41.645,-7.679
Point.97,,115.508,42.801,-8.289
Point.98,,116.503,43.944,-8.95
Point.99,,117.393,45.171,-9.605
Point.100,,118.03,46.6,-10.13
