Parameter,L,X,Y,Z
Hose Length,260.5,,,
Spline Length,163.32,,,
1st Vector Length,20,,,
2nd Vector Length,20.00186241,,,
1st Vector  Point,,0,-20,0
1st  Vector  End Point,,0,0,0
2nd Vector  Point,,92.24,-24.26,10.19
2nd  Vector  End Point,,110.31,-25.4,18.69
1st Vector Direction,,0,1,0
2nd Vector Direction,,0.903435,-0.057024,0.424915
Point.1,,0,0,0
Point.2,,-0.003,1.649,-0.057
Point.3,,-0.029,3.297,-0.103
Point.4,,-0.07,4.946,-0.067
Point.5,,-0.09,6.595,-0.038
Point.6,,-0.087,8.245,-0.04
Point.7,,-0.069,9.895,-0.032
Point.8,,-0.023,11.543,0.004
Point.9,,0.064,13.189,0.069
Point.10,,0.185,14.832,0.162
Point.11,,0.328,16.471,0.282
Point.12,,0.508,18.104,0.428
Point.13,,0.762,19.724,0.606
Point.14,,1.087,21.327,0.82
Point.15,,1.45,22.917,1.071
Point.16,,1.834,24.497,1.349
Point.17,,2.269,26.057,1.662
Point.18,,2.796,27.578,2.022
Point.19,,3.407,29.055,2.428
Point.20,,4.065,30.505,2.861
Point.21,,4.755,31.934,3.312
Point.22,,5.507,33.319,3.798
Point.23,,6.356,34.625,4.339
Point.24,,7.289,35.854,4.924
Point.25,,8.267,37.037,5.527
Point.26,,9.28,38.185,6.142
Point.27,,10.355,39.255,6.788
Point.28,,11.52,40.199,7.477
Point.29,,12.751,41.033,8.189
Point.30,,14.016,41.81,8.91
Point.31,,15.303,42.539,9.64
Point.32,,16.644,43.155,10.376
Point.33,,18.055,43.6,11.103
Point.34,,19.505,43.917,11.822
Point.35,,20.966,44.173,12.546
Point.36,,22.434,44.368,13.271
Point.37,,23.924,44.426,13.975
Point.38,,25.43,44.303,14.635
Point.39,,26.939,44.066,15.258
Point.40,,28.45,43.783,15.856
Point.41,,29.961,43.439,16.423
Point.42,,31.45,42.961,16.945
Point.43,,32.896,42.322,17.416
Point.44,,34.309,41.595,17.858
Point.45,,35.7,40.831,18.308
Point.46,,37.055,40.006,18.761
Point.47,,38.357,39.063,19.125
Point.48,,39.598,38.003,19.361
Point.49,,40.799,36.889,19.556
Point.50,,41.974,35.749,19.764
Point.51,,43.103,34.561,19.951
Point.52,,44.165,33.305,20.066
Point.53,,45.164,31.993,20.104
Point.54,,46.131,30.656,20.105
Point.55,,47.077,29.305,20.085
Point.56,,47.985,27.929,20.026
Point.57,,48.841,26.524,19.905
Point.58,,49.652,25.098,19.73
Point.59,,50.443,23.665,19.529
Point.60,,51.217,22.225,19.304
Point.61,,51.963,20.777,19.044
Point.62,,52.681,19.327,18.741
Point.63,,53.384,17.869,18.405
Point.64,,54.08,16.415,18.053
Point.65,,54.764,14.96,17.685
Point.66,,55.438,13.506,17.293
Point.67,,56.115,12.06,16.875
Point.68,,56.799,10.624,16.441
Point.69,,57.487,9.192,15.997
Point.70,,58.173,7.762,15.544
Point.71,,58.866,6.339,15.077
Point.72,,59.583,4.932,14.599
Point.73,,60.326,3.541,14.116
Point.74,,61.083,2.156,13.635
Point.75,,61.856,0.778,13.161
Point.76,,62.656,-0.587,12.692
Point.77,,63.495,-1.928,12.225
Point.78,,64.37,-3.249,11.764
Point.79,,65.267,-4.559,11.316
Point.80,,66.188,-5.856,10.88
Point.81,,67.152,-7.129,10.467
Point.82,,68.17,-8.37,10.087
Point.83,,69.231,-9.585,9.738
Point.84,,70.316,-10.782,9.406
Point.85,,71.428,-11.958,9.093
Point.86,,72.589,-13.099,8.819
Point.87,,73.807,-14.19,8.6
Point.88,,75.064,-15.243,8.423
Point.89,,76.343,-16.275,8.274
Point.90,,77.649,-17.273,8.164
Point.91,,79,-18.222,8.112
Point.92,,80.392,-19.106,8.129
Point.93,,81.812,-19.942,8.202
Point.94,,83.249,-20.745,8.31
Point.95,,84.709,-21.498,8.459
Point.96,,86.195,-22.164,8.717
Point.97,,87.692,-22.757,9.077
Point.98,,89.192,-23.367,9.39
Point.99,,90.708,-23.949,9.677
Point.100,,92.24,-24.26,10.19
