Parameter,L,X,Y,Z
Hose Length,260.5,,,
Spline Length,192.2,,,
1st Vector Length,20,,,
2nd Vector Length,16.1,,,
1st Vector  Point,,345.518,-20.294,30.838
1st  Vector  End Point,,345.647,-0.297,30.507
2nd Vector  Point,,309.024,-41.559,56.642
2nd  Vector  End Point,,317.26,-55.28,54.88
1st Vector Direction,,0.006453,0.999842,-0.016572
2nd Vector Direction,,0.511795,-0.852136,-0.109223
Point.1,,345.647,-0.297,30.507
Point.2,,345.592,1.643,30.435
Point.3,,345.502,3.58,30.343
Point.4,,345.375,5.513,30.23
Point.5,,345.21,7.443,30.093
Point.6,,345.003,9.367,29.934
Point.7,,344.753,11.283,29.752
Point.8,,344.459,13.191,29.548
Point.9,,344.117,15.089,29.325
Point.10,,343.725,16.975,29.083
Point.11,,343.279,18.846,28.824
Point.12,,342.773,20.701,28.55
Point.13,,342.204,22.534,28.263
Point.14,,341.568,24.344,27.963
Point.15,,340.863,26.126,27.654
Point.16,,340.086,27.876,27.338
Point.17,,339.237,29.592,27.015
Point.18,,338.317,31.27,26.69
Point.19,,337.325,32.907,26.364
Point.20,,336.261,34.498,26.041
Point.21,,335.123,36.038,25.723
Point.22,,333.912,37.523,25.415
Point.23,,332.626,38.947,25.119
Point.24,,331.265,40.303,24.84
Point.25,,329.829,41.583,24.58
Point.26,,328.319,42.779,24.342
Point.27,,326.737,43.883,24.129
Point.28,,325.086,44.888,23.943
Point.29,,323.372,45.785,23.786
Point.30,,321.602,46.57,23.66
Point.31,,319.782,47.24,23.567
Point.32,,317.923,47.794,23.509
Point.33,,316.032,48.231,23.488
Point.34,,314.117,48.551,23.507
Point.35,,312.188,48.756,23.57
Point.36,,310.252,48.844,23.68
Point.37,,308.318,48.819,23.841
Point.38,,306.394,48.68,24.055
Point.39,,304.487,48.43,24.32
Point.40,,302.606,48.07,24.634
Point.41,,300.757,47.603,24.994
Point.42,,298.945,47.032,25.393
Point.43,,297.178,46.358,25.83
Point.44,,295.461,45.586,26.302
Point.45,,293.799,44.72,26.808
Point.46,,292.199,43.763,27.351
Point.47,,290.667,42.722,27.93
Point.48,,289.208,41.599,28.546
Point.49,,287.827,40.401,29.197
Point.50,,286.529,39.129,29.881
Point.51,,285.318,37.79,30.592
Point.52,,284.196,36.387,31.327
Point.53,,283.166,34.925,32.082
Point.54,,282.23,33.409,32.853
Point.55,,281.387,31.847,33.638
Point.56,,280.636,30.243,34.434
Point.57,,279.977,28.605,35.241
Point.58,,279.408,26.938,36.056
Point.59,,278.928,25.246,36.878
Point.60,,278.537,23.534,37.704
Point.61,,278.234,21.805,38.534
Point.62,,278.018,20.063,39.363
Point.63,,277.886,18.312,40.191
Point.64,,277.837,16.555,41.014
Point.65,,277.868,14.794,41.831
Point.66,,277.975,13.033,42.641
Point.67,,278.157,11.274,43.441
Point.68,,278.409,9.518,44.23
Point.69,,278.731,7.769,45.008
Point.70,,279.119,6.027,45.772
Point.71,,279.573,4.295,46.521
Point.72,,280.091,2.574,47.256
Point.73,,280.672,0.866,47.973
Point.74,,281.314,-0.828,48.672
Point.75,,282.015,-2.506,49.351
Point.76,,282.773,-4.167,50.009
Point.77,,283.586,-5.812,50.645
Point.78,,284.449,-7.439,51.256
Point.79,,285.36,-9.051,51.841
Point.80,,286.314,-10.646,52.4
Point.81,,287.307,-12.228,52.93
Point.82,,288.335,-13.797,53.43
Point.83,,289.397,-15.353,53.899
Point.84,,290.488,-16.899,54.334
Point.85,,291.607,-18.434,54.735
Point.86,,292.749,-19.961,55.1
Point.87,,293.91,-21.482,55.43
Point.88,,295.084,-22.999,55.725
Point.89,,296.267,-24.516,55.987
Point.90,,297.453,-26.035,56.217
Point.91,,298.641,-27.558,56.418
Point.92,,299.829,-29.083,56.589
Point.93,,301.019,-30.611,56.732
Point.94,,302.21,-32.139,56.845
Point.95,,303.403,-33.669,56.928
Point.96,,304.591,-35.204,56.974
Point.97,,305.763,-36.751,56.978
Point.98,,306.903,-38.321,56.929
Point.99,,307.995,-39.923,56.819
Point.100,,309.024,-41.559,56.642
