Parameter,L,X ,Y,Z
Hose Length ,260.5,,,
Spline Length,192.2,,,
1st Vector Length,20,,,
2nd Vector Length,16.1,,,
1st Vector  Point ,,345.729,20.273,-30.774
1st  Vector  End Point ,,345.858,0.381,-30.444
2nd Vector  Point ,,280.93,29.332,-56.674
2nd  Vector  End Point ,,273.048,42.931,-54.899
1st Vector Direction,,-0.006453,0.999842,-0.016572
2nd Vector Direction,,-0.498287,0.859716,0.112244
Point.1,,345.858,0.381,-30.444
Point.2,,346.016,-1.551,-30.332
Point.3,,346.188,-3.481,-30.199
Point.4,,346.354,-5.41,-30.05
Point.5,,346.5,-7.34,-29.888
Point.6,,346.624,-9.27,-29.714
Point.7,,346.727,-11.2,-29.53
Point.8,,346.816,-13.13,-29.333
Point.9,,346.894,-15.059,-29.124
Point.10,,346.961,-16.988,-28.902
Point.11,,347.012,-18.915,-28.667
Point.12,,347.036,-20.841,-28.419
Point.13,,347.025,-22.765,-28.159
Point.14,,346.968,-24.687,-27.888
Point.15,,346.857,-26.605,-27.606
Point.16,,346.688,-28.517,-27.313
Point.17,,346.457,-30.422,-27.011
Point.18,,346.161,-32.316,-26.701
Point.19,,345.798,-34.197,-26.384
Point.20,,345.363,-36.062,-26.063
Point.21,,344.851,-37.908,-25.742
Point.22,,344.259,-39.729,-25.422
Point.23,,343.58,-41.521,-25.109
Point.24,,342.811,-43.278,-24.805
Point.25,,341.947,-44.993,-24.513
Point.26,,340.985,-46.656,-24.236
Point.27,,339.923,-48.26,-23.977
Point.28,,338.759,-49.796,-23.739
Point.29,,337.495,-51.255,-23.527
Point.30,,336.135,-52.629,-23.344
Point.31,,334.682,-53.908,-23.195
Point.32,,333.144,-55.088,-23.086
Point.33,,331.527,-56.161,-23.022
Point.34,,329.842,-57.125,-23.007
Point.35,,328.098,-57.977,-23.046
Point.36,,326.305,-58.716,-23.14
Point.37,,324.473,-59.342,-23.292
Point.38,,322.612,-59.855,-23.502
Point.39,,320.73,-60.252,-23.77
Point.40,,318.836,-60.53,-24.092
Point.41,,316.938,-60.688,-24.468
Point.42,,315.043,-60.723,-24.892
Point.43,,313.162,-60.634,-25.364
Point.44,,311.303,-60.424,-25.883
Point.45,,309.474,-60.095,-26.446
Point.46,,307.684,-59.653,-27.055
Point.47,,305.94,-59.102,-27.708
Point.48,,304.249,-58.448,-28.402
Point.49,,302.617,-57.692,-29.134
Point.50,,301.049,-56.84,-29.899
Point.51,,299.55,-55.893,-30.69
Point.52,,298.123,-54.856,-31.501
Point.53,,296.771,-53.733,-32.327
Point.54,,295.495,-52.531,-33.162
Point.55,,294.296,-51.256,-34.004
Point.56,,293.173,-49.916,-34.849
Point.57,,292.126,-48.516,-35.695
Point.58,,291.154,-47.063,-36.539
Point.59,,290.255,-45.562,-37.38
Point.60,,289.427,-44.016,-38.216
Point.61,,288.67,-42.432,-39.045
Point.62,,287.982,-40.812,-39.865
Point.63,,287.36,-39.16,-40.675
Point.64,,286.802,-37.48,-41.474
Point.65,,286.307,-35.776,-42.261
Point.66,,285.87,-34.049,-43.035
Point.67,,285.49,-32.303,-43.795
Point.68,,285.162,-30.54,-44.541
Point.69,,284.883,-28.763,-45.273
Point.70,,284.649,-26.973,-45.989
Point.71,,284.458,-25.172,-46.688
Point.72,,284.306,-23.36,-47.37
Point.73,,284.191,-21.538,-48.033
Point.74,,284.114,-19.707,-48.677
Point.75,,284.07,-17.868,-49.299
Point.76,,284.059,-16.021,-49.899
Point.77,,284.076,-14.168,-50.477
Point.78,,284.115,-12.307,-51.033
Point.79,,284.171,-10.441,-51.567
Point.80,,284.237,-8.569,-52.081
Point.81,,284.308,-6.693,-52.575
Point.82,,284.38,-4.811,-53.048
Point.83,,284.453,-2.923,-53.5
Point.84,,284.525,-1.031,-53.93
Point.85,,284.595,0.867,-54.336
Point.86,,284.656,2.77,-54.716
Point.87,,284.699,4.68,-55.067
Point.88,,284.711,6.595,-55.387
Point.89,,284.677,8.516,-55.672
Point.90,,284.587,10.439,-55.921
Point.91,,284.439,12.364,-56.135
Point.92,,284.241,14.287,-56.317
Point.93,,284.012,16.209,-56.475
Point.94,,283.766,18.131,-56.614
Point.95,,283.51,20.052,-56.735
Point.96,,283.228,21.97,-56.835
Point.97,,282.884,23.88,-56.9
Point.98,,282.423,25.766,-56.91
Point.99,,281.786,27.598,-56.841
Point.100,,280.93,29.332,-56.674
