Parameter,L,X ,Y,Z
Hose Length ,259.7,,,
Spline Length,186.7,,,
1st Vector Length,15,,,
2nd Vector Length,48,,,
1st Vector  Point ,,-60,175,13
1st  Vector  End Point ,,-45,175,13
2nd Vector  Point ,,-73.75,203.1,31.73
2nd  Vector  End Point ,,-107.77,169.74,37.73
1st Vector Direction,,1,0,0
2nd Vector Direction,,-0.708392,-0.694678,0.124909
Point.1,,-45,175,13
Point.2,,-41.269,175.128,12.995
Point.3,,-37.553,175.488,12.982
Point.4,,-33.862,176.051,12.963
Point.5,,-30.202,176.789,12.939
Point.6,,-26.577,177.682,12.912
Point.7,,-22.988,178.712,12.884
Point.8,,-19.438,179.867,12.856
Point.9,,-15.927,181.138,12.83
Point.10,,-12.457,182.517,12.809
Point.11,,-9.03,184.001,12.792
Point.12,,-5.65,185.587,12.784
Point.13,,-2.321,187.277,12.785
Point.14,,0.952,189.073,12.798
Point.15,,4.161,190.983,12.827
Point.16,,7.293,193.015,12.877
Point.17,,10.33,195.185,12.952
Point.18,,13.245,197.515,13.062
Point.19,,15.991,200.039,13.22
Point.20,,18.485,202.806,13.446
Point.21,,20.562,205.886,13.776
Point.22,,21.86,209.336,14.27
Point.23,,21.724,212.962,14.985
Point.24,,19.881,216.058,15.834
Point.25,,17.022,218.291,16.669
Point.26,,13.732,219.864,17.449
Point.27,,10.25,220.991,18.181
Point.28,,6.672,221.801,18.876
Point.29,,3.043,222.371,19.543
Point.30,,-0.615,222.751,20.188
Point.31,,-4.289,222.972,20.815
Point.32,,-7.971,223.056,21.427
Point.33,,-11.656,223.018,22.026
Point.34,,-15.34,222.87,22.615
Point.35,,-19.02,222.618,23.196
Point.36,,-22.693,222.267,23.768
Point.37,,-26.357,221.821,24.334
Point.38,,-30.009,221.28,24.894
Point.39,,-33.646,220.645,25.448
Point.40,,-37.266,219.912,25.998
Point.41,,-40.865,219.079,26.544
Point.42,,-44.438,218.142,27.086
Point.43,,-47.98,217.092,27.624
Point.44,,-51.486,215.921,28.158
Point.45,,-54.945,214.62,28.689
Point.46,,-58.346,213.173,29.215
Point.47,,-61.675,211.565,29.736
Point.48,,-64.912,209.776,30.25
Point.49,,-68.029,207.784,30.756
Point.50,,-70.991,205.567,31.25
Point.51,,-73.754,203.104,31.727
