Parameter,L,X ,Y,Z
Hose Length ,259.7,,,
Spline Length,219.1,,,
1st Vector Length,15,,,
2nd Vector Length,48,,,
1st Vector  Point ,,-60,295,13
1st  Vector  End Point ,,-45,295,13
2nd Vector  Point ,,-63.025,333.213,17.35
2nd  Vector  End Point ,,-110.94,331,17.47
1st Vector Direction,,1,0,0
2nd Vector Direction,,-0.998928,-0.046235,-0.002488
Point.1,,-45,295,13
Point.2,,-40.619,294.981,13.058
Point.3,,-36.241,294.917,13.227
Point.4,,-31.868,294.796,13.482
Point.5,,-27.501,294.603,13.778
Point.6,,-23.136,294.326,14.053
Point.7,,-18.774,293.961,14.246
Point.8,,-14.416,293.516,14.301
Point.9,,-10.065,293.012,14.185
Point.10,,-5.727,292.478,13.883
Point.11,,-1.404,291.95,13.401
Point.12,,2.903,291.47,12.755
Point.13,,7.197,291.087,11.971
Point.14,,11.481,290.858,11.084
Point.15,,15.758,290.865,10.135
Point.16,,20.019,291.226,9.187
Point.17,,24.22,292.112,8.329
Point.18,,28.227,293.742,7.691
Point.19,,31.77,296.283,7.423
Point.20,,34.536,299.659,7.593
Point.21,,36.422,303.57,8.115
Point.22,,37.52,307.743,8.843
Point.23,,37.958,312.022,9.657
Point.24,,37.824,316.323,10.473
Point.25,,37.161,320.586,11.226
Point.26,,35.979,324.752,11.871
Point.27,,34.271,328.752,12.381
Point.28,,32.032,332.496,12.744
Point.29,,29.272,335.887,12.97
Point.30,,26.035,338.831,13.087
Point.31,,22.394,341.261,13.136
Point.32,,18.44,343.14,13.158
Point.33,,14.269,344.476,13.185
Point.34,,9.969,345.305,13.24
Point.35,,5.607,345.687,13.336
Point.36,,1.229,345.689,13.478
Point.37,,-3.137,345.376,13.667
Point.38,,-7.475,344.809,13.899
Point.39,,-11.781,344.042,14.168
Point.40,,-16.054,343.123,14.469
Point.41,,-20.301,342.094,14.793
Point.42,,-24.528,340.992,15.134
Point.43,,-28.745,339.852,15.481
Point.44,,-32.961,338.708,15.827
Point.45,,-37.184,337.592,16.162
Point.46,,-41.425,336.534,16.476
Point.47,,-45.689,335.567,16.758
Point.48,,-49.982,334.723,16.996
Point.49,,-54.305,334.032,17.181
Point.50,,-58.655,333.521,17.302
Point.51,,-63.025,333.213,17.35
