Parameter,L,X ,Y,Z
Hose Length ,280.95,,,
Spline Length,217.62,,,
1st Vector Length,15,,,
2nd Vector Length,16.1,,,
1st Vector  Point ,,94.491,22.407,-30.963
1st  Vector  End Point ,,95.052,5.445,-31.956
2nd Vector  Point ,,29.052,26.552,-35.639
2nd  Vector  End Point ,,12.769,27.759,-34.885
1st Vector Direction,,0.032965,-0.997747,-0.058428
2nd Vector Direction,,-0.996202,0.073825,0.046162
Point.1,,95.052,5.445,-31.956
Point.2,,95.431,3.323,-32.334
Point.3,,95.922,1.222,-32.703
Point.4,,96.514,-0.852,-33.081
Point.5,,97.203,-2.89,-33.486
Point.6,,97.975,-4.893,-33.911
Point.7,,98.812,-6.87,-34.339
Point.8,,99.693,-8.831,-34.755
Point.9,,100.61,-10.779,-35.151
Point.10,,101.557,-12.717,-35.525
Point.11,,102.528,-14.648,-35.873
Point.12,,103.516,-16.575,-36.192
Point.13,,104.511,-18.505,-36.475
Point.14,,105.505,-20.44,-36.719
Point.15,,106.489,-22.385,-36.92
Point.16,,107.457,-24.343,-37.073
Point.17,,108.398,-26.317,-37.175
Point.18,,109.302,-28.31,-37.216
Point.19,,110.157,-30.325,-37.19
Point.20,,110.955,-32.361,-37.094
Point.21,,111.69,-34.416,-36.92
Point.22,,112.347,-36.488,-36.664
Point.23,,112.912,-38.575,-36.319
Point.24,,113.369,-40.67,-35.883
Point.25,,113.697,-42.768,-35.353
Point.26,,113.879,-44.857,-34.726
Point.27,,113.907,-46.923,-34.006
Point.28,,113.777,-48.953,-33.196
Point.29,,113.479,-50.927,-32.3
Point.30,,113.004,-52.825,-31.321
Point.31,,112.344,-54.625,-30.266
Point.32,,111.498,-56.304,-29.146
Point.33,,110.468,-57.838,-27.974
Point.34,,109.261,-59.206,-26.766
Point.35,,107.889,-60.389,-25.539
Point.36,,106.369,-61.372,-24.31
Point.37,,104.718,-62.142,-23.098
Point.38,,102.958,-62.689,-21.919
Point.39,,101.112,-63.003,-20.786
Point.40,,99.206,-63.083,-19.714
Point.41,,97.266,-62.935,-18.714
Point.42,,95.314,-62.57,-17.795
Point.43,,93.371,-62.002,-16.963
Point.44,,91.454,-61.244,-16.227
Point.45,,89.579,-60.312,-15.594
Point.46,,87.757,-59.216,-15.072
Point.47,,86.001,-57.975,-14.664
Point.48,,84.323,-56.603,-14.368
Point.49,,82.731,-55.112,-14.176
Point.50,,81.233,-53.52,-14.074
Point.51,,79.835,-51.836,-14.054
Point.52,,78.539,-50.073,-14.108
Point.53,,77.349,-48.24,-14.232
Point.54,,76.263,-46.349,-14.421
Point.55,,75.279,-44.41,-14.673
Point.56,,74.39,-42.435,-14.991
Point.57,,73.588,-40.436,-15.38
Point.58,,72.864,-38.421,-15.838
Point.59,,72.229,-36.39,-16.351
Point.60,,71.679,-34.343,-16.899
Point.61,,71.171,-32.292,-17.471
Point.62,,70.691,-30.242,-18.07
Point.63,,70.253,-28.192,-18.702
Point.64,,69.864,-26.143,-19.368
Point.65,,69.53,-24.095,-20.066
Point.66,,69.245,-22.05,-20.791
Point.67,,68.997,-20.007,-21.538
Point.68,,68.768,-17.967,-22.299
Point.69,,68.545,-15.931,-23.072
Point.70,,68.317,-13.898,-23.852
Point.71,,68.075,-11.869,-24.638
Point.72,,67.811,-9.845,-25.43
Point.73,,67.515,-7.827,-26.225
Point.74,,67.18,-5.815,-27.021
Point.75,,66.797,-3.812,-27.815
Point.76,,66.359,-1.816,-28.602
Point.77,,65.857,0.168,-29.377
Point.78,,65.282,2.139,-30.138
Point.79,,64.623,4.09,-30.879
Point.80,,63.868,6.016,-31.595
Point.81,,63.005,7.908,-32.28
Point.82,,62.03,9.759,-32.925
Point.83,,60.943,11.563,-33.519
Point.84,,59.745,13.315,-34.053
Point.85,,58.431,15.004,-34.517
Point.86,,57.004,16.617,-34.902
Point.87,,55.467,18.148,-35.199
Point.88,,53.825,19.577,-35.425
Point.89,,52.076,20.879,-35.613
Point.90,,50.226,22.04,-35.765
Point.91,,48.286,23.047,-35.88
Point.92,,46.273,23.9,-35.959
Point.93,,44.199,24.6,-35.987
Point.94,,42.083,25.161,-35.968
Point.95,,39.94,25.603,-35.92
Point.96,,37.779,25.944,-35.865
Point.97,,35.605,26.202,-35.82
Point.98,,33.424,26.389,-35.788
Point.99,,31.239,26.505,-35.737
Point.100,,29.052,26.552,-35.639
