Parameter,L,X,Y,Z
Hose Length,282,,,
Spline Length,219,,,
1st Vector Length,15.9,,,
2nd Vector Length,16,,,
OutSide vector,32,Looks not to be straight,,
1st Vector  Point,,-60,295,13
1st  Vector  End Point,,-45,295,13
2nd Vector  Point,,-66.59,360.79,17.35
2nd  Vector  End Point,,-67.33,376.7,17.31
1st Vector Direction,,1,0,0
2nd Vector Direction,,-0.0462,0.998928,-0.002488
Point.1,,-45,295,13
Point.2,,-42.789,294.935,13.012
Point.3,,-40.586,294.739,13.047
Point.4,,-38.399,294.417,13.104
Point.5,,-36.233,293.976,13.179
Point.6,,-34.092,293.427,13.269
Point.7,,-31.979,292.781,13.369
Point.8,,-29.893,292.053,13.476
Point.9,,-27.833,291.254,13.584
Point.10,,-25.795,290.399,13.688
Point.11,,-23.777,289.499,13.784
Point.12,,-21.772,288.567,13.869
Point.13,,-19.777,287.615,13.937
Point.14,,-17.786,286.653,13.985
Point.15,,-15.792,285.694,14.008
Point.16,,-13.793,284.748,14.003
Point.17,,-11.781,283.829,13.966
Point.18,,-9.753,282.948,13.893
Point.19,,-7.705,282.12,13.781
Point.20,,-5.633,281.36,13.627
Point.21,,-3.537,280.684,13.428
Point.22,,-1.415,280.109,13.182
Point.23,,0.729,279.653,12.889
Point.24,,2.891,279.335,12.55
Point.25,,5.064,279.172,12.17
Point.26,,7.236,279.179,11.754
Point.27,,9.394,279.369,11.312
Point.28,,11.525,279.749,10.855
Point.29,,13.611,280.321,10.399
Point.30,,15.64,281.082,9.959
Point.31,,17.599,282.025,9.551
Point.32,,19.475,283.139,9.19
Point.33,,21.259,284.41,8.888
Point.34,,22.942,285.826,8.655
Point.35,,24.518,287.37,8.499
Point.36,,25.978,289.029,8.421
Point.37,,27.314,290.791,8.425
Point.38,,28.519,292.644,8.506
Point.39,,29.579,294.578,8.663
Point.40,,30.481,296.585,8.888
Point.41,,31.202,298.655,9.175
Point.42,,31.717,300.779,9.515
Point.43,,31.991,302.939,9.897
Point.44,,31.989,305.111,10.308
Point.45,,31.673,307.257,10.731
Point.46,,31.027,309.329,11.148
Point.47,,30.059,311.277,11.54
Point.48,,28.809,313.064,11.896
Point.49,,27.331,314.678,12.212
Point.50,,25.68,316.122,12.488
Point.51,,23.9,317.412,12.73
Point.52,,22.026,318.567,12.941
Point.53,,20.082,319.606,13.128
Point.54,,18.087,320.546,13.295
Point.55,,16.052,321.4,13.445
Point.56,,13.987,322.181,13.581
Point.57,,11.898,322.898,13.706
Point.58,,9.79,323.558,13.821
Point.59,,7.666,324.169,13.928
Point.60,,5.531,324.737,14.028
Point.61,,3.385,325.267,14.123
Point.62,,1.231,325.763,14.213
Point.63,,-0.929,326.229,14.299
Point.64,,-3.096,326.669,14.383
Point.65,,-5.267,327.086,14.463
Point.66,,-7.441,327.483,14.542
Point.67,,-9.619,327.863,14.62
Point.68,,-11.799,328.229,14.697
Point.69,,-13.982,328.584,14.774
Point.70,,-16.165,328.931,14.85
Point.71,,-18.349,329.272,14.927
Point.72,,-20.534,329.609,15.005
Point.73,,-22.719,329.947,15.084
Point.74,,-24.903,330.289,15.164
Point.75,,-27.086,330.637,15.246
Point.76,,-29.267,330.995,15.33
Point.77,,-31.446,331.368,15.417
Point.78,,-33.621,331.76,15.505
Point.79,,-35.792,332.177,15.597
Point.80,,-37.956,332.625,15.692
Point.81,,-40.112,333.11,15.79
Point.82,,-42.257,333.641,15.891
Point.83,,-44.388,334.227,15.996
Point.84,,-46.499,334.878,16.104
Point.85,,-48.584,335.608,16.216
Point.86,,-50.634,336.431,16.33
Point.87,,-52.637,337.362,16.447
Point.88,,-54.576,338.418,16.565
Point.89,,-56.433,339.615,16.682
Point.90,,-58.181,340.964,16.797
Point.91,,-59.794,342.473,16.906
Point.92,,-61.247,344.136,17.007
Point.93,,-62.52,345.942,17.097
Point.94,,-63.603,347.868,17.174
Point.95,,-64.497,349.89,17.237
Point.96,,-65.211,351.982,17.285
Point.97,,-65.761,354.124,17.319
Point.98,,-66.162,356.299,17.341
Point.99,,-66.433,358.494,17.351
Point.100,,-66.589,360.701,17.35
