Parameter,L,X ,Y,Z
Hose Length ,0,,,
Spline Length,0,,,
1st Vector Length,0,,,
2nd Vector Length,0,,,
1st Vector  Point ,,0,0,0
1st  Vector  End Point ,,0,0,0
2nd Vector  Point ,,0,0,0
2nd  Vector  End Point ,,0,0,0
1st Vector Direction,,0,0,0
2nd Vector Direction,,0,0,0
Point.1,,0,0,0
Point.2,,0,0,0
Point.3,,0,0,0
Point.4,,0,0,0
Point.5,,0,0,0
Point.6,,0,0,0
Point.7,,0,0,0
Point.8,,0,0,0
Point.9,,0,0,0
Point.10,,0,0,0
Point.11,,0,0,0
Point.12,,0,0,0
Point.13,,0,0,0
Point.14,,0,0,0
Point.15,,0,0,0
Point.16,,0,0,0
Point.17,,0,0,0
Point.18,,0,0,0
Point.19,,0,0,0
Point.20,,0,0,0
Point.21,,0,0,0
Point.22,,0,0,0
Point.23,,0,0,0
Point.24,,0,0,0
Point.25,,0,0,0
Point.26,,0,0,0
Point.27,,0,0,0
Point.28,,0,0,0
Point.29,,0,0,0
Point.30,,0,0,0
Point.31,,0,0,0
Point.32,,0,0,0
Point.33,,0,0,0
Point.34,,0,0,0
Point.35,,0,0,0
Point.36,,0,0,0
Point.37,,0,0,0
Point.38,,0,0,0
Point.39,,0,0,0
Point.40,,0,0,0
Point.41,,0,0,0
Point.42,,0,0,0
Point.43,,0,0,0
Point.44,,0,0,0
Point.45,,0,0,0
Point.46,,0,0,0
Point.47,,0,0,0
Point.48,,0,0,0
Point.49,,0,0,0
Point.50,,0,0,0
Point.51,,0,0,0
