X,Y,Z
8.262399691544384e-05,3.663267344202182e-07,7.778374492178093e-06
-5.4289151299458105e-11,1.6268456857157198e-11,4.9641827685959e-07
-1.1032709193518593e-09,7.080766809743811e-11,4.96118955221453e-07
-3.0759332085935785e-09,2.1879526247799498e-10,4.955079495472982e-07
-5.898107882792384e-09,4.971473273485995e-10,4.945766786297002e-07
-9.494532565904978e-09,9.258977754662217e-10,4.93315667509776e-07
-1.3790382335997458e-08,1.5095170012086762e-09,4.917149011877335e-07
-1.871229648646802e-08,2.238661778436261e-09,4.897640535301561e-07
-2.4189032615093875e-08,3.091591377606187e-09,4.874527535697567e-07
-3.015178289908645e-08,4.035755062737383e-09,4.847707837778503e-07
-3.6534127604271834e-08,5.02915044128111e-09,4.817082930656538e-07
-4.327178603268447e-08,6.0218986007196836e-09,4.782559679929608e-07
-5.0302225286993495e-08,6.957406668670802e-09,4.744052370054891e-07
-5.75640083506191e-08,7.77364256318167e-09,4.7014842649836885e-07
-6.49962078812477e-08,8.404546091000583e-09,4.6547894385317773e-07
-7.253754340640225e-08,8.780984045673472e-09,4.6039145420430476e-07
-8.012580431993651e-08,8.832232312231012e-09,4.5488205473419036e-07
-8.769701136422193e-08,8.48718804576901e-09,4.489483960104099e-07
-9.518485906041016e-08,7.675554015633838e-09,4.4258992292115794e-07
-1.0252025718208199e-07,6.329565463761432e-09,4.3580787483362156e-07
-1.0963084828865513e-07,4.385241436757766e-09,4.2860552297200073e-07
-1.1644111851156103e-07,1.7841615143796695e-09,4.2098815323422535e-07
-1.228723966099725e-07,-1.524964537847959e-09,4.1296317261784016e-07
-1.2884346237082578e-07,-5.584437975686852e-09,4.0454006385034173e-07
-1.3427132281891704e-07,-1.0425819004529398e-08,3.957303641096407e-07
-1.3907266355096413e-07,-1.606839642761491e-08,3.865476196728335e-07
-1.4316528609123924e-07,-2.2517389384948017e-08,3.770072785163414e-07
-1.4647050284691027e-07,-2.976270518214929e-08,3.671265375583805e-07
-1.489153936903452e-07,-3.7778121994367365e-08,3.569244241322621e-07
-1.5043581348934498e-07,-4.652044545795429e-08,3.464215406361611e-07
-1.5097925973511295e-07,-5.5929785082483155e-08,3.3564031179345136e-07
-1.5050796024129655e-07,-6.593022696042017e-08,3.2460510002323126e-07
-1.4900179837716316e-07,-7.643118209535678e-08,3.133424376937832e-07
-1.464607485512318e-07,-8.732959153506899e-08,3.018816532770635e-07
-1.429068395867667e-07,-9.851274599685288e-08,2.902553617702551e-07
-1.383851635859256e-07,-1.0986170042094383e-07,2.78500334996002e-07
-1.32963938896468e-07,-1.212550839123484e-07,2.666582527687604e-07
-1.2673337851094695e-07,-1.3257311540666015e-07,2.547766205387502e-07
-1.1980335526591297e-07,-1.4370141041102615e-07,2.4290936863158327e-07
-1.1229988961292711e-07,-1.54534667326156e-07,2.3111753468973604e-07
-1.0436099038566634e-07,-1.6497942526604227e-07,2.1946905376074618e-07
-9.613113615731953e-08,-1.7495629424831012e-07,2.0803887718356205e-07
-8.775637909084479e-08,-1.8440113477130902e-07,1.9690771396039232e-07
-7.937833171206576e-08,-1.932651741929037e-07,1.861610209596219e-07
-7.112968696013848e-08,-2.0151449024886563e-07,1.7588693737994576e-07
-6.312967865872371e-08,-2.091284970839204e-07,1.6617416416075254e-07
-5.5480753787093186e-08,-2.16097855041618e-07,1.5710948802928135e-07
-4.826656827366352e-08,-2.224223915497051e-07,1.487752195631839e-07
-4.155091884275352e-08,-2.2810850049921274e-07,1.4124674333017203e-07
-3.537776479716804e-08,-2.3316694318935527e-07,1.3459042319611527e-07
-2.9772376330071664e-08,-2.3761084882218145e-07,1.2886180719699932e-07
-2.4743115970598715e-08,-2.4145408785782217e-07,1.241044064898598e-07
-2.028368368193589e-08,-2.447101087452219e-07,1.2034906764949612e-07
-1.6375728494765927e-08,-2.4739104124108375e-07,1.1761378514469427e-07
-1.2991632916147292e-08,-2.495075494006763e-07,1.1590416324268085e-07
-1.0096884133374063e-08,-2.51068522177749e-07,1.1521423389441305e-07
-7.652664167883804e-09,-2.520814274179533e-07,1.1552759090892344e-07
-5.61764656534648e-09,-2.525524712755034e-07,1.1681885205814762e-07
-3.949906257906771e-09,-2.524870791870477e-07,1.1905515806024482e-07
-2.608183750341087e-09,-2.5189037692748403e-07,1.2219778180736022e-07
-1.552809781921031e-09,-2.507674218000858e-07,1.2620364938988477e-07
-7.465406902281953e-10,-2.4912365438093816e-07,1.3102672631306662e-07
-1.5487160173548696e-10,-2.469652678329932e-07,1.366194356267815e-07
2.536639113549007e-10,-2.4429914360794127e-07,1.429335893835989e-07
5.074893898534714e-10,-2.4113331065856307e-07,1.4992143195163173e-07
