X,Y,Z
-0.00208612312377101,-0.0007835463547951297,-0.0004353075584599115
3.4976251150393533e-10,-4.685976373718506e-11,-1.6137190680913245e-10
6.780298897525705e-10,-8.757419638701049e-11,-3.303196530177477e-10
9.838725277832518e-10,-1.234288155118972e-10,-5.060245128155456e-10
1.266836856616695e-09,-1.5581288804019631e-10,-6.877075686379475e-10
1.5265660732016428e-09,-1.8622854114151682e-10,-8.746184609446661e-10
1.762859954691472e-09,-2.1621365782195338e-10,-1.0660222768612595e-09
1.9758182366695892e-09,-2.4734524796908477e-10,-1.2611989554433228e-09
2.1654546435444906e-09,-2.8123707227980327e-10,-1.4594165850809612e-09
2.3320953618974285e-09,-3.195133712706276e-10,-1.6599227694605098e-09
2.476169050000581e-09,-3.6383577368487697e-10,-1.8619114819401747e-09
2.598023279933261e-09,-4.1583067098996773e-10,-2.064509548804627e-09
2.698204665284125e-09,-4.770973406830437e-10,-2.266766726672254e-09
2.7774166497183693e-09,-5.49209137270939e-10,-2.467625512483507e-09
2.836262748874224e-09,-6.337278857130692e-10,-2.665897233052856e-09
2.8755710389475602e-09,-7.320657026180117e-10,-2.8602453991425385e-09
2.8961134202037153e-09,-8.455868677935957e-10,-3.0491633010385985e-09
2.898855426960273e-09,-9.755268301755147e-10,-3.230961876803134e-09
2.8847624954771715e-09,-1.1229128748529512e-09,-3.403761384072895e-09
2.8549237450404e-09,-1.2886206799130701e-09,-3.565471390301017e-09
2.8104977919012854e-09,-1.4732068226135963e-09,-3.713802048935891e-09
2.752731226210302e-09,-1.6769511640170555e-09,-3.846267696347606e-09
2.6830158634357396e-09,-1.899756820781087e-09,-3.960204602754489e-09
2.60277200557024e-09,-2.1410659057371314e-09,-4.052806448916097e-09
2.5135215441394104e-09,-2.399843736709366e-09,-4.121171670061216e-09
2.4168773636141505e-09,-2.6744919369287043e-09,-4.162363395495596e-09
2.314515424304205e-09,-2.9627770863133896e-09,-4.173498565355619e-09
2.2081793705385103e-09,-3.2617982469866587e-09,-4.1518441532836925e-09
2.0994999834116936e-09,-3.5680368796608425e-09,-4.094931602349062e-09
1.990312313793924e-09,-3.877171568261494e-09,-4.000691649392629e-09
1.882167390336249e-09,-4.184341922479714e-09,-3.867599844741901e-09
1.7766718459832045e-09,-4.484011784831165e-09,-3.6948127805142958e-09
1.675244114569988e-09,-4.770221140203421e-09,-3.482312944329349e-09
1.579066941976503e-09,-5.0366653351194665e-09,-3.2310314775238126e-09
1.489219837630892e-09,-5.276825808763363e-09,-2.9429440889691613e-09
1.406467462742386e-09,-5.484359013032058e-09,-2.6211176225340425e-09
1.3312293477939043e-09,-5.653166685835876e-09,-2.269723288804284e-09
1.263842633144786e-09,-5.777758442782893e-09,-1.8939815087029403e-09
1.2041548777068426e-09,-5.853438745063003e-09,-1.5000488449731066e-09
1.1519759171156274e-09,-5.876592403418741e-09,-1.0948489957260038e-09
1.1066905788991007e-09,-5.8448381232628095e-09,-6.858466925333134e-10
1.067732101206303e-09,-5.757088307988934e-09,-2.8077913546093524e-10
1.0341734367821648e-09,-5.613749527371941e-09,1.1263099013504131e-10
1.005237359010418e-09,-5.416588270866111e-09,4.869679898409967e-10
9.799980233779025e-10,-5.168666112262343e-09,8.354052830773267e-10
9.575792911004375e-10,-4.874161022338583e-09,1.1519345981533602e-09
9.372205456618645e-10,-4.538293441838234e-09,1.431565397192991e-09
9.181564581613386e-10,-4.1668663060814324e-09,1.6704598300385442e-09
8.998486456449922e-10,-3.766159919680659e-09,1.8660020870231755e-09
8.81692085667953e-10,-3.342609026323637e-09,2.0167898110557226e-09
8.634428705997301e-10,-2.902634376724089e-09,2.1225817502855647e-09
